child	parent	length
n2		0
n3	n2	0.0027
33308	n3	0.04876
n5	n3	0.0244
n6	n5	0.01412
n41	n6	0.04448
n42	n41	0.00652
n44	n42	0.01523
n45	n44	0.04447
40642	n45	0.07269
32820	n45	0.08885
n67	n44	0.16302
10699	n67	0.00861
32267	n67	0.01788
n82	n42	0.01249
n115	n82	0.03958
n126	n115	0.07988
23715	n126	0.01539
n128	n126	0.0128
13072	n128	0.00238
12089	n128	0.00724
n131	n115	0.00095
n168	n131	0.04084
n169	n168	0.00237
n171	n169	0.03925
9055	n171	0.00564
n173	n171	0.00361
39942	n173	0.06883
18277	n173	0.02341
19051	n169	0.00964
n180	n168	0.00015
20758	n180	0.02866
n185	n180	0.00032
n186	n185	0.00015
40136	n186	0.00014
n188	n186	0.00014
20946	n188	0.00952
n190	n188	0.00014
n191	n190	0.00253
n192	n191	0.00016
n193	n192	0.00015
n194	n193	0.00014
24719	n194	0.00712
n196	n194	0.00014
n197	n196	0.00016
32508	n197	0.00706
34137	n197	0.03917
n200	n196	0.00016
n201	n200	0.00015
35925	n201	0.01596
35060	n201	0.00658
n204	n200	0.00015
24778	n204	0.00744
26303	n204	0.00706
13305	n193	0.00712
19811	n192	0.00712
n209	n191	0.00595
5765	n209	0.01137
n211	n209	0.01137
2726	n211	0.00236
362	n211	0.00476
n214	n190	0.00014
3587	n214	0.00893
3856	n214	0.0119
n217	n185	0.00221
n218	n217	0.00016
37352	n218	0.00463
n220	n218	0.00218
19407	n220	0.01199
7344	n220	0.00477
n223	n217	0.00016
37258	n223	0.00712
20248	n223	0.01575
n230	n131	0.04982
29221	n230	0.02694
n232	n230	0.0135
14143	n232	0.03338
n234	n232	0.00016
35780	n234	0.04511
n236	n234	0.00191
22903	n236	0.01163
2754	n236	0.00592
n257	n82	0.02985
n258	n257	0.00628
5836	n258	0.00016
n260	n258	0.00462
28495	n260	0.01476
n262	n260	0.00015
7774	n262	0.00486
22781	n262	0.01709
9050	n257	0.01048
23322	n41	0.09108
n362	n6	0.00879
n363	n362	0.00602
n364	n363	0.01736
n602	n364	0.1038
n603	n602	0.00754
n604	n603	0.06524
7370	n604	0.00015
1899	n604	0.11971
n611	n603	0.01783
14382	n611	0.00014
3664	n611	0.00015
n628	n602	0.01501
n629	n628	0.00236
n630	n629	0.00014
19559	n630	0.01235
n632	n630	0.00652
38980	n632	0.05752
10349	n632	0.05811
1228	n629	0.00497
n636	n628	0.00015
n637	n636	0.01402
22928	n637	0.03867
3536	n637	0.01938
n640	n636	0.00605
n641	n640	0.00014
17184	n641	0.01207
n643	n641	0.00284
n644	n643	0.0264
17346	n644	0.02187
n646	n644	0.0047
20926	n646	0.00655
36337	n646	0.00349
n649	n643	0.01054
7269	n649	0.00255
8418	n649	0.01856
n652	n640	0.00014
n653	n652	0.02803
23844	n653	0.0079
29161	n653	0.00616
n656	n652	0.01358
39495	n656	0.01357
1115	n656	0.03656
n748	n364	0.02588
n765	n748	0.14874
n766	n765	0.01507
n767	n766	0.00515
n768	n767	0.02024
40702	n768	0.09625
n770	n768	0.01022
n771	n770	0.00015
n772	n771	0.00044
31627	n772	0.05268
23686	n772	0.00685
n777	n771	0.00221
24322	n777	0.04312
n779	n777	0.01611
7315	n779	0.04269
18123	n779	0.04563
4823	n770	0.01951
n783	n767	0.00016
n784	n783	0.01016
n785	n784	0.01763
10430	n785	0.00688
19743	n785	0.01154
n788	n784	0.03225
n789	n788	0.00872
9338	n789	0.02706
32690	n789	0.04738
n793	n788	0.00918
n794	n793	0.00016
16613	n794	0.01791
2960	n794	0.04079
n797	n793	0.00278
n798	n797	0.00587
n799	n798	0.00014
n800	n799	0.00399
4951	n800	0.01021
28132	n800	0.01239
n803	n799	0.00015
18226	n803	0.00816
n805	n803	0.00014
18399	n805	0.02091
n807	n805	0.00014
7942	n807	0.01631
30010	n807	0.01428
n810	n798	0.00014
n811	n810	0.00074
n812	n811	0.01053
31848	n812	0.01035
n814	n812	0.02167
13854	n814	0.00631
16234	n814	0.00612
n817	n811	0.02052
1893	n817	0.01637
26722	n817	0.00596
n820	n810	0.00842
n821	n820	0.00404
n822	n821	0.00015
15538	n822	0.00816
n824	n822	0.00015
27042	n824	0.00607
31625	n824	0.00409
18257	n821	0.00397
n828	n820	0.00683
5832	n828	0.01739
9424	n828	0.02712
n831	n797	0.00016
n832	n831	0.00014
n833	n832	0.002
28837	n833	0.00409
15876	n833	0.01021
n836	n832	0.00011
n837	n836	0.00014
n838	n837	0.00014
n839	n838	0.00208
n840	n839	0.00314
16696	n840	0.04468
21667	n840	0.00305
22590	n839	0.00609
34324	n838	0.01329
n845	n837	0.00016
38679	n845	0.00807
498	n845	0.00608
24473	n836	0.00817
n849	n831	0.00014
37405	n849	0.01014
3578	n849	0.00613
n853	n783	0.00351
n854	n853	0.00016
n855	n854	0.00014
n856	n855	0.00015
n857	n856	0.00015
n858	n857	0.00332
n859	n858	0.00194
n860	n859	0.0001
n861	n860	0.00992
28315	n861	0.00749
29544	n861	0.00245
n864	n860	0.0001
n865	n864	0.00012
n866	n865	0.00011
n867	n866	0.0001
287	n867	0.00988
n869	n867	0.00011
n870	n869	0.0001
27418	n870	0.00988
n872	n870	0.00973
n873	n872	0.00024
n874	n873	0.00012
n875	n874	0.00015
9269	n875	0.00996
n895	n875	0.00717
n896	n895	0.01836
n897	n896	0.00015
n898	n897	0.00012
n899	n898	0.00576
n900	n899	0.00014
n901	n900	0.00353
7982	n901	0.02945
25875	n901	0.02528
2106	n900	0.02468
n905	n899	0.00247
9580	n905	0.00495
24495	n905	0.00742
4852	n898	0.02126
n909	n897	0.00015
n910	n909	0.00015
n911	n910	0.00016
6282	n911	0.00578
12715	n911	0.00981
n914	n910	0.0019
26595	n914	0.0074
n916	n914	0.0019
13798	n916	0.00771
20736	n916	0.00494
n919	n909	0.00097
8611	n919	0.00872
n921	n919	0.00822
n922	n921	0.01008
12980	n922	0.00015
28563	n922	0.00246
n925	n921	0.01094
n926	n925	0.04544
n927	n926	0.01356
18508	n927	0.01176
n929	n927	0.00596
n930	n929	0.01408
n935	n930	0.03172
n936	n935	0.01292
n937	n936	0.00678
n938	n937	0.0174
31980	n938	0.01051
33907	n938	0.02453
27757	n937	0.03016
35107	n936	0.07938
18176	n935	0.02821
30863	n930	0.00369
32494	n929	0.02755
23254	n926	0.03793
n947	n925	0.02765
34538	n947	0.035
n949	n947	0.0414
n950	n949	0.09663
29774	n950	0.21373
13871	n950	0.0818
2214	n949	0.00817
n956	n896	0.00342
22907	n956	0.00662
25397	n956	0.0248
n959	n895	0.00231
n960	n959	0.00016
3737	n960	0.01488
226	n960	0.00741
n963	n959	0.00015
n964	n963	0.00245
32025	n964	0.00492
33297	n964	0.00492
11110	n963	0.00737
n968	n874	0.00011
n969	n968	0.0001
n970	n969	0.0013
n971	n970	0.0061
n972	n971	0.00015
n973	n972	0.00014
n974	n973	0.00243
39760	n974	0.00493
30753	n974	0.00741
n977	n973	0.00012
24219	n977	0.00988
n979	n977	0.00014
n980	n979	0.00245
36250	n980	0.0074
3865	n980	0.00741
n983	n979	0.00012
n984	n983	0.00038
n985	n984	0.00011
17189	n985	0.00996
n987	n985	0.00071
n988	n987	0.00381
n989	n988	0.00241
13362	n989	0.00495
20524	n989	0.00742
n992	n988	0.0014
12052	n992	0.00014
n994	n992	0.00014
n995	n994	0.00137
5591	n995	0.04232
n997	n995	0.00113
8686	n997	0.0074
23590	n997	0.0074
n1000	n994	0.00015
17864	n1000	0.01797
n1002	n1000	0.00014
n1003	n1002	0.00327
38584	n1003	0.01181
28336	n1003	0.00273
n1006	n1002	0.00627
26036	n1006	0.0074
30565	n1006	0.00642
n1009	n987	0.03081
31380	n1009	0.01533
n1011	n1009	0.00471
26526	n1011	0.0048
30929	n1011	0.00479
n1014	n984	0.00244
6969	n1014	0.00739
10744	n1014	0.00987
n1017	n983	0.00242
2184	n1017	0.00739
n1019	n1017	0.00015
40263	n1019	0.00737
2848	n1019	0.00738
n1022	n972	0.01201
10521	n1022	0.00385
n1024	n1022	0.02348
25299	n1024	0.003
37878	n1024	0.00609
22511	n971	0.0099
n1028	n970	0.0024
n1029	n1028	0.00013
36811	n1029	0.00739
2139	n1029	0.00245
n1032	n1028	0.00015
33825	n1032	0.00739
n1034	n1032	0.00243
1085	n1034	0.00491
n1036	n1034	0.00243
15461	n1036	0.0049
27190	n1036	0.00245
n1039	n969	0.00241
33707	n1039	0.01239
n1041	n1039	0.00014
34799	n1041	0.01239
286	n1041	0.00491
31205	n968	0.00983
9125	n873	0.00014
n1046	n872	0.00269
n1047	n1046	0.00598
n1048	n1047	0.00184
5869	n1048	0.00242
21906	n1048	0.00978
n1051	n1047	0.00063
n1052	n1051	0.00741
19909	n1052	0.01161
n1054	n1052	0.00931
40659	n1054	0.01692
n1056	n1054	0.00264
n1057	n1056	0.00015
17552	n1057	0.00969
n1059	n1057	0.00016
n1060	n1059	0.00014
n1061	n1060	0.0231
23120	n1061	0.05347
2525	n1061	0.00299
16901	n1060	0.0097
19213	n1059	0.00969
n1066	n1056	0.00713
n1067	n1066	0.00801
3399	n1067	0.07536
n1071	n1067	0.00451
21172	n1071	0.01225
n1073	n1071	0.00216
2367	n1073	0.00972
n1076	n1073	0.01909
25828	n1076	0.0174
31760	n1076	0.01314
n1080	n1066	0.02016
n1081	n1080	0.02121
8954	n1081	0.00729
n1083	n1081	0.00652
12450	n1083	0.05472
11513	n1083	0.01319
n1086	n1080	0.01213
9413	n1086	0.04252
29170	n1086	0.01213
