child	parent	length
n12908		0
n12814	n12908	0.00164
n12613	n12814	0.00413
n12502	n12613	0.00067
n9	n12502	0.00488
23171	n9	0.0074
38476	n9	0.00244
n12501	n12502	0.00538
n12496	n12501	0.00069
n12488	n12496	0.00015
n12479	n12488	0.05044
n12081	n12479	0.01424
n1196	n12081	0.00293
n1194	n1196	0.0029
n1182	n1194	0.00172
n29	n1182	0.03379
n25	n29	0.00518
n21	n25	0.005
21492	n21	0.00943
10318	n21	0.00954
n24	n25	0.00014
8647	n24	0.01418
19516	n24	0.00463
29840	n29	0.01437
n1181	n1182	0.00162
n36	n1181	0.02293
n35	n36	0.00883
2288	n35	0.01493
32268	n35	0.01505
32714	n36	0.00344
n1180	n1181	0.00014
n499	n1180	0.01387
31572	n499	0.03628
n498	n499	0.00226
n67	n498	0.0335
n65	n67	0.03731
n60	n65	0.01092
n55	n60	0.02036
13148	n55	0.04992
n52	n55	0.03337
4922	n52	0.01323
137	n52	0.01345
n59	n60	0.00015
33828	n59	0.01954
n58	n59	0.00815
31448	n58	0.01131
30333	n58	0.00697
9852	n65	0.02212
27144	n67	0.0179
n497	n498	0.00015
n494	n497	0.00669
n490	n494	0.00959
n109	n490	0.00361
n70	n109	0.01171
20930	n70	0.01037
n69	n70	0.00015
1446	n69	0.0048
18734	n69	0.03098
n102	n109	0.00444
8377	n102	0.01501
n94	n102	0.04036
n85	n94	0.06294
34083	n85	0.02253
5892	n85	0.02895
n93	n94	0.01967
38974	n93	0.01317
n90	n93	0.01933
n89	n90	0.00196
23316	n89	0.01218
13049	n89	0.01884
35136	n90	0.00608
n489	n490	0.00156
n443	n489	0.00656
38858	n443	0.05028
n442	n443	0.00015
n185	n442	0.00895
n133	n185	0.00119
n132	n133	0.01085
15376	n132	0.01258
n131	n132	0.0148
n128	n131	0.00174
2264	n128	0.03082
27122	n128	0.01691
n130	n131	0.00618
16091	n130	0.0185
n129	n130	0.00574
22445	n129	0.03949
35304	n129	0.02188
15944	n133	0.01904
n182	n185	0.00419
n179	n182	0.00043
30246	n179	0.05258
n178	n179	0.01147
n152	n178	0.0086
n151	n152	0.00014
22105	n151	0.00841
n147	n151	0.00746
37128	n147	0.01305
15682	n147	0.01689
40602	n152	0.00846
n176	n178	0.00082
n173	n176	0.00012
n169	n173	0.00438
19765	n169	0.01037
7614	n169	0.01627
n171	n173	0.00451
17498	n171	0.01269
35691	n171	0.01271
20856	n176	0.01693
8033	n182	0.01855
n441	n442	0.00339
n428	n441	0.01082
8365	n428	0.01656
n427	n428	0.00014
n208	n427	0.00356
n200	n208	0.00833
n191	n200	0.00391
38115	n191	0.02186
n190	n191	0.00014
8449	n190	0.02103
34644	n190	0.00677
n197	n200	0.00221
n194	n197	0.00016
36647	n194	0.05033
n193	n194	0.00014
n192	n193	0.00799
9602	n192	0.00015
9698	n192	0.02163
37047	n193	0.00853
29494	n197	0.02183
38909	n208	0.0953
n426	n427	0.00275
n417	n426	0.01423
n243	n417	0.00168
n236	n243	0.01047
12000	n236	0.00839
n233	n236	0.02408
n231	n233	0.00015
n230	n231	0.00064
n228	n230	0.00296
n224	n228	0.00051
n221	n224	0.01167
18037	n221	0.02789
35068	n221	0.01155
31270	n224	0.01265
6552	n228	0.0126
n229	n230	0.01132
7897	n229	0.0056
2046	n229	0.01079
23334	n231	0.01617
n232	n233	0.02799
39522	n232	0.01415
30843	n232	0.03174
5975	n243	0.02476
n413	n417	0.03828
35967	n413	0.00827
n412	n413	0.00016
8823	n412	0.00827
n411	n412	0.00014
n410	n411	0.00014
n408	n410	0.0481
36323	n408	0.03072
n407	n408	0.01658
n245	n407	0.00662
24706	n245	0.00945
11915	n245	0.00316
n405	n407	0.00097
n382	n405	0.00599
n263	n382	0.00375
14230	n263	0.00015
n262	n263	0.00416
38228	n262	0.01228
n261	n262	0.00253
18043	n261	0.04696
21645	n261	0.04629
n381	n382	0.00166
n347	n381	0.01577
n282	n347	0.00803
n277	n282	0.0202
n272	n277	0.01026
39437	n272	0.01325
n269	n272	0.00046
30087	n269	0.01048
n267	n269	0.02263
13107	n267	0.0065
n266	n267	0.00824
15061	n266	0.00921
22518	n266	0.00922
n276	n277	0.00673
39313	n276	0.0135
6404	n276	0.03323
8767	n282	0.08334
n346	n347	0.00378
34858	n346	0.02067
n345	n346	0.00218
n324	n345	0.00352
35062	n324	0.00352
n322	n324	0.00228
n297	n322	0.03138
n283	n297	0.00581
3052	n283	0.00773
19228	n283	0.01186
n295	n297	0.02534
8551	n295	0.0389
n294	n295	0.00015
37122	n294	0.01273
n287	n294	0.04477
8260	n287	0.0621
19348	n287	0.04273
n321	n322	0.00789
n312	n321	0.07032
n307	n312	0.01222
n305	n307	0.00012
34447	n305	0.03445
25641	n305	0.03458
38582	n307	0.03719
n311	n312	0.00016
13465	n311	0.01811
n310	n311	0.00983
13913	n310	0.01838
10496	n310	0.00787
32406	n321	0.07272
n344	n345	0.00883
n331	n344	0.00681
n325	n331	0.03697
38044	n325	0.00869
18329	n325	0.0059
12914	n331	0.03976
n341	n344	0.0155
30063	n341	0.00991
n338	n341	0.12692
25573	n338	0.00014
37832	n338	0.0393
n376	n381	0.00704
n367	n376	0.02235
n365	n367	0.02468
10488	n365	0.02206
n364	n365	0.00015
30808	n364	0.03688
n363	n364	0.00804
11792	n363	0.01384
39567	n363	0.05115
20569	n367	0.03453
n374	n376	0.00805
7134	n374	0.02196
13765	n374	0.10142
n404	n405	0.00412
36542	n404	0.0045
n401	n404	0.08409
n397	n401	0.0003
24793	n397	0.00858
25381	n397	0.00496
n400	n401	0.01584
39640	n400	0.00594
2703	n400	0.03283
28629	n410	0.01234
34694	n411	0.00829
n425	n426	0.00183
34006	n425	0.01822
n424	n425	0.00014
16578	n424	0.00485
4629	n424	0.03753
n434	n441	0.00482
3778	n434	0.01662
n433	n434	0.01765
n429	n433	0.03406
6543	n429	0.00969
34291	n429	0.01056
5753	n433	0.00819
n487	n489	0.015
6384	n487	0.00979
n485	n487	0.0078
n484	n485	0.00013
n447	n484	0.00963
22411	n447	0.00242
24769	n447	0.01726
n483	n484	0.00374
n481	n483	0.0046
n449	n481	0.00099
4618	n449	0.0059
12449	n449	0.01221
n478	n481	0.00214
n471	n478	0.06354
20541	n471	0.05064
n469	n471	0.028
20836	n469	0.00546
n465	n469	0.0448
n464	n465	0.01689
20576	n464	0.07397
n461	n464	0.01689
16383	n461	0.00407
11242	n461	0.02499
29921	n465	0.0468
36519	n478	0.02042
36520	n483	0.00739
21553	n485	0.00489
18634	n494	0.03206
13768	n497	0.00776
n1174	n1180	0.00142
n1159	n1174	0.00163
n516	n1159	0.0124
16491	n516	0.00855
n515	n516	0.01047
n513	n515	0.00014
594	n513	0.00408
n512	n513	0.00015
33755	n512	0.00827
n511	n512	0.00014
14800	n511	0.00828
n509	n511	0.06253
7908	n509	0.01463
27992	n509	0.01718
39603	n515	0.01234
n1157	n1159	0.00988
n521	n1157	0.00029
517	n521	0.00744
631	n521	0.00728
n1151	n1157	0.00655
n531	n1151	0.01117
11163	n531	0.0249
n530	n531	0.03154
24333	n530	0.0291
38754	n530	0.02472
n1150	n1151	0.00014
24208	n1150	0.00484
n1147	n1150	0.00333
n1146	n1147	0.00302
n626	n1146	0.00031
n623	n626	0.01914
n573	n623	0.00477
2461	n573	0.01394
n572	n573	0.00014
n560	n572	0.00262
15999	n560	0.00729
n559	n560	0.00102
n536	n559	0.0137
n533	n536	0.0027
7565	n533	0.00738
20943	n533	0.0027
15115	n536	0.00743
13981	n559	0.02844
n571	n572	0.00504
3073	n571	0.03359
n569	n571	0.07393
n565	n569	0.00014
n564	n565	0.0298
11654	n564	0.00218
27888	n564	0.05503
6651	n565	0.01218
n568	n569	0.00949
n566	n568	0.00029
28665	n566	0.01462
11874	n566	0.00971
14206	n568	0.01213
n608	n623	0.0089
n590	n608	0.00325
n587	n590	0.00029
12750	n587	0.02536
n585	n587	0.01027
n580	n585	0.03713
32190	n580	0.02159
37115	n580	0.00725
21467	n585	0.01884
n589	n590	0.00241
38686	n589	0.00242
32746	n589	0.00488
n606	n608	0.00028
n602	n606	0.00015
