child	parent	length
n7783		0.17073
n7499	n7783	0.02359
n1519	n7499	0.01486
n1046	n1519	0.01237
n751	n1046	0.10628
n653	n751	0.03829
31083	n653	0.02734
n648	n653	0.05131
25960	n648	0.0152
21547	n648	0.00619
n738	n751	0.14394
n728	n738	0.01349
n719	n728	0.02671
5679	n719	0.00014
30148	n719	0.0154
217	n728	0.0431
n737	n738	0.00192
n732	n737	0.01037
39761	n732	0.03782
19434	n732	0.05173
n733	n737	0.01625
39818	n733	0.01326
5708	n733	0.0184
n1044	n1046	0.05708
n1017	n1044	0.06796
n934	n1017	0.01524
n923	n934	0.00015
19819	n923	0.06995
n922	n923	0.01531
n916	n922	0.04777
38930	n916	0.04057
n915	n916	0.00016
n912	n915	0.02039
40393	n912	0.0059
10424	n912	0.00276
n914	n915	0.00862
12090	n914	0.00573
n913	n914	0.00564
32356	n913	0.00286
6066	n913	0.00016
15588	n922	0.22713
11331	n934	0.0892
n1015	n1017	0.02792
n937	n1015	0.05353
17771	n937	0.00014
20127	n937	0.06396
n1014	n1015	0.01112
24521	n1014	0.08901
n1013	n1014	0.00258
n1003	n1013	0.00203
n1001	n1003	0.00281
n975	n1001	0.00014
n973	n975	0.01672
25582	n973	0.00574
n970	n973	0.00156
9623	n970	0.00077
n969	n970	0.00591
30720	n969	0.04201
n967	n969	0.04451
n965	n967	0.03794
n964	n965	0.00855
35605	n964	0.14306
6786	n964	0.05495
37556	n965	0.01552
37205	n967	0.01169
34823	n975	0.00975
n990	n1001	0.00299
9081	n990	0.01827
16809	n990	0.02101
24643	n1003	0.03194
n1011	n1013	0.00593
6297	n1011	0.01798
34932	n1011	0.00363
n1039	n1044	0.10128
n1023	n1039	0.05657
4193	n1023	0.01184
8466	n1023	0.01019
n1037	n1039	0.06255
n1031	n1037	0.02066
5789	n1031	0.01837
n1030	n1031	0.00016
81	n1030	0.01222
n1029	n1030	0.00015
23206	n1029	0.01247
n1028	n1029	0.0001
n1027	n1028	0.00014
n1026	n1027	0.00014
35548	n1026	0.0122
40837	n1026	0.01227
22496	n1027	0.01526
32849	n1028	0.00014
n1036	n1037	0.01409
20026	n1036	0.02026
11326	n1036	0.02388
35864	n1519	0.10895
n7498	n7499	0.02198
n6970	n7498	0.05368
n6653	n6970	0.01543
n2392	n6653	0.01278
n1641	n2392	0.00944
n1621	n1641	0.06798
17210	n1621	0.01185
25159	n1621	0.00014
19394	n1641	0.07753
n2391	n2392	0.01845
n1785	n2391	0.00486
n1744	n1785	0.06462
n1742	n1744	0.00128
n1741	n1742	0.00572
n1740	n1741	0.00618
40221	n1740	0.01189
n1739	n1740	0.01329
n1703	n1739	0.00151
17471	n1703	0.0555
n1702	n1703	0.02393
n1700	n1702	0.01132
29099	n1700	0.00565
n1699	n1700	0.00879
n1649	n1699	0.0042
n1642	n1649	0.00355
33598	n1642	0.00334
33979	n1642	0.03204
n1648	n1649	0.00113
n1647	n1648	0.00013
20502	n1647	0.00014
n1646	n1647	0.0001
22801	n1646	0.00835
n1645	n1646	0.0001
31200	n1645	0.01699
n1644	n1645	0.00014
24363	n1644	0.01111
n1643	n1644	0.01065
24806	n1643	0.00273
25389	n1643	0.00824
4868	n1648	0.01116
n1698	n1699	0.01177
n1691	n1698	0.0001
22884	n1691	0.00826
n1690	n1691	0.0003
n1683	n1690	0.00015
n1682	n1683	0.00015
n1679	n1682	0.00014
n1652	n1679	0.0027
11612	n1652	0.00834
n1651	n1652	0.00269
n1650	n1651	0.00828
16847	n1650	0.0141
24210	n1650	0.00265
16601	n1651	0.00556
n1678	n1679	0.00014
10914	n1678	0.06206
n1677	n1678	0.00015
n1675	n1677	0.00016
n1654	n1675	0.00214
20803	n1654	0.00429
n1653	n1654	0.00015
14921	n1653	0.01391
21110	n1653	0.00833
n1674	n1675	0.00015
n1658	n1674	0.00338
9483	n1658	0.00015
n1657	n1658	0.00312
37768	n1657	0.00771
n1656	n1657	0.00387
5571	n1656	0.00424
n1655	n1656	0.00764
18835	n1655	0.01693
10274	n1655	0.01109
n1673	n1674	0.00015
n1670	n1673	0.00014
n1660	n1670	0.01166
21300	n1660	0.00278
n1659	n1660	0.00015
15517	n1659	0.0089
39523	n1659	0.01971
n1669	n1670	0.00014
23811	n1669	0.00014
n1668	n1669	0.00014
18018	n1668	0.01112
n1667	n1668	0.00015
8257	n1667	0.01115
n1666	n1667	0.00627
n1661	n1666	0.01571
2647	n1661	0.00303
39676	n1661	0.03202
n1665	n1666	0.00016
29226	n1665	0.00974
n1664	n1665	0.00508
n1663	n1664	0.00016
n1662	n1663	0.00535
5993	n1662	0.02857
3569	n1662	0.00847
38862	n1663	0.00553
28657	n1664	0.00553
n1672	n1673	0.0065
40568	n1672	0.01834
n1671	n1672	0.00933
36688	n1671	0.02274
9405	n1671	0.00276
n1676	n1677	0.00269
16779	n1676	0.00832
35735	n1676	0.00833
n1681	n1682	0.00269
15776	n1681	0.01114
n1680	n1681	0.00015
30284	n1680	0.03677
3854	n1680	0.0083
37489	n1683	0.01387
n1689	n1690	0.00318
n1686	n1689	0.0027
3458	n1686	0.00553
n1685	n1686	0.00015
2556	n1685	0.00823
n1684	n1685	0.0027
7041	n1684	0.00555
24154	n1684	0.00554
n1688	n1689	0.00707
15853	n1688	0.0553
n1687	n1688	0.00521
15268	n1687	0.00015
20224	n1687	0.00014
n1697	n1698	0.00297
n1696	n1697	0.00268
n1695	n1696	0.01351
21339	n1695	0.06995
n1694	n1695	0.01359
14281	n1694	0.04834
n1693	n1694	0.01109
13316	n1693	0.0029
n1692	n1693	0.00342
20591	n1692	0.00289
30763	n1692	0.00014
4808	n1696	0.00571
36857	n1697	0.02096
n1701	n1702	0.02096
10584	n1701	0.05997
15774	n1701	0.0176
n1738	n1739	0.00016
n1716	n1738	0.01547
n1708	n1716	0.0346
n1705	n1708	0.00016
22504	n1705	0.00016
n1704	n1705	0.00285
14424	n1704	0.02029
17437	n1704	0.00012
n1707	n1708	0.00924
1701	n1707	0.01453
n1706	n1707	0.00597
16185	n1706	0.00293
13276	n1706	0.03834
n1715	n1716	0.04023
2865	n1715	0.00014
n1714	n1715	0.01184
33228	n1714	0.00459
n1713	n1714	0.00014
n1712	n1713	0.00304
14211	n1712	0.0058
n1711	n1712	0.00016
n1710	n1711	0.0096
17334	n1710	0.00289
n1709	n1710	0.00014
19206	n1709	0.00291
5161	n1709	0.00872
17394	n1711	0.01171
32397	n1713	0.00014
n1737	n1738	0.00988
n1717	n1737	0.05236
28478	n1717	0.06811
36335	n1717	0.0475
n1736	n1737	0.01246
n1730	n1736	0.00511
n1719	n1730	0.02688
n1718	n1719	0.06106
110	n1718	0.00841
29954	n1718	0.00016
9968	n1719	0.0499
n1729	n1730	0.01793
n1727	n1729	0.03133
n1724	n1727	0.03996
23674	n1724	0.06976
n1723	n1724	0.04584
4042	n1723	0.10038
n1722	n1723	0.09115
36413	n1722	0.00014
n1721	n1722	0.01106
21143	n1721	0.00014
n1720	n1721	0.00318
1825	n1720	0.00014
34836	n1720	0.0147
n1726	n1727	0.04281
25292	n1726	0.08162
n1725	n1726	0.04055
34833	n1725	0.07478
38657	n1725	0.02661
n1728	n1729	0.03676
23849	n1728	0.0215
7761	n1728	0.04654
n1734	n1736	0.03962
n1733	n1734	0.00604
38662	n1733	0.00615
n1732	n1733	0.006
38864	n1732	0.00301
n1731	n1732	0.00294
14063	n1731	0.01822
2827	n1731	0.00606
16260	n1734	0.00934
7657	n1741	0.00584
23777	n1742	0.0232
n1743	n1744	0.01156
1100	n1743	0.00936
5791	n1743	0.01475
n1784	n1785	0.02204
n1748	n1784	0.00015
28054	n1748	0.04584
n1747	n1748	0.08324
19952	n1747	0.00224
10427	n1747	0.00441
n1782	n1784	0.04504
n1778	n1782	0.00014
n1777	n1778	0.01161
n1760	n1777	0.00264
25256	n1760	0.00014
13335	n1760	0.01334
n1776	n1777	0.00014
16430	n1776	0.00435
n1775	n1776	0.00016
n1774	n1775	0.0064
n1773	n1774	0.011
n1768	n1773	0.00283
590	n1768	0.02934
n1767	n1768	0.00283
n1762	n1767	0.10951
1447	n1762	0.00462
n1761	n1762	0.00014
8081	n1761	0.00997
21927	n1761	0.00331
n1766	n1767	0.00282
13020	n1766	0.0129
n1765	n1766	0.0179
40576	n1765	0.00014
n1764	n1765	0.04199
30856	n1764	0.0063
n1763	n1764	0.00015
20910	n1763	0.00971
35283	n1763	0.00014
n1772	n1773	0.00015
10758	n1772	0.02244
n1771	n1772	0.00016
n1770	n1771	0.00014
36895	n1770	0.0285
n1769	n1770	0.00285
32212	n1769	0.02599
32278	n1769	0.0032
25952	n1771	0.00014
6921	n1774	0.01318
27936	n1775	0.00615
4075	n1778	0.01807
n1781	n1782	0.00295
20292	n1781	0.01505
n1780	n1781	0.00016
n1779	n1780	0.00014
36482	n1779	0
4446	n1779	0
38184	n1780	0.01201
n2081	n2391	0.04045
n2065	n2081	0.01418
n1919	n2065	0.04084
n1787	n1919	0.03646
27083	n1787	0.00506
n1786	n1787	0.00468
19492	n1786	0.00014
30315	n1786	0.02948
39750	n1919	0.16248
n2058	n2065	0.08503
n1932	n2058	0.14137
4434	n1932	0.00717
n1931	n1932	0.00298
30958	n1931	0.00014
n1930	n1931	0.00015
27161	n1930	0.01053
31040	n1930	0.00016
n2050	n2058	0.09397
n2021	n2050	0.18782
37171	n2021	0.14713
11133	n2021	0.11493
n2049	n2050	0.00736
15467	n2049	0.02672
8888	n2049	0.00343
n2080	n2081	0.01597
28707	n2080	0.12318
n2078	n2080	0.17698
33412	n2078	0.02496
n2077	n2078	0.01729
20728	n2077	0.05485
19072	n2077	0.01402
n6652	n6653	0.01143
n6641	n6652	0.00272
n5990	n6641	0.00862
n2402	n5990	0.03837
n2393	n2402	0.10613
26883	n2393	0.09549
28429	n2393	0.1101
n2401	n2402	0.03893
n2398	n2401	0.29238
24235	n2398	0.00014
7931	n2398	0.00307
n2400	n2401	0.04948
31972	n2400	0.1122
n2399	n2400	0.04903
7011	n2399	0.2426
8534	n2399	0.16063
n5989	n5990	0.02197
n5764	n5989	0.06912
n2558	n5764	0.02648
n2405	n2558	0.48812
n2403	n2405	0.00014
12826	n2403	0
6022	n2403	0
9451	n2405	0.01852
n2557	n2558	0.06694
n2553	n2557	0.03123
n2471	n2553	0.01812
n2416	n2471	0.03426
15921	n2416	0.00014
11812	n2416	0.07869
n2470	n2471	0.05447
n2461	n2470	0.17742
n2460	n2461	0.01688
n2457	n2460	0.01479
n2418	n2457	0.02798
36540	n2418	0.00787
n2417	n2418	0.00544
