child	parent	length
n386		0.1533
9342	n386	0.18497
n2812	n386	0.08393
n2813	n2812	0.01236
37943	n2813	0.22655
n4725	n2813	0.10059
n4787	n4725	0.04685
39951	n4787	0.00293
8427	n4787	0.00014
n4867	n4725	0.01549
n4869	n4867	0.0151
n4879	n4869	0.06581
3248	n4879	0.00294
5318	n4879	0.00014
n4925	n4869	0.00732
n4926	n4925	0.01091
12760	n4926	0.10952
11756	n4926	0.08928
n5371	n4925	0.02427
14884	n5371	0.00587
7217	n5371	0.00014
n5525	n4867	0.12103
25584	n5525	0.01203
n5529	n5525	0.00044
14443	n5529	0.00014
21290	n5529	0.13567
n6728	n2812	0.23486
n6753	n6728	0.04876
22764	n6753	0.28301
36937	n6753	0.19054
n7200	n6728	0.01134
n8441	n7200	0.17099
21326	n8441	0.00666
6141	n8441	0.00014
n8524	n7200	0.02686
n8557	n8524	0.13219
26928	n8557	0.00014
33216	n8557	0.00014
n10072	n8524	0.02126
n10097	n10072	0.09287
24937	n10097	0.1077
26391	n10097	0.05596
n10706	n10072	0.03242
n10708	n10706	0.13395
37579	n10708	0.03767
7738	n10708	0.0313
n11962	n10706	0.04557
n12288	n11962	0.25674
n12380	n12288	0.08874
40799	n12380	0.01288
25186	n12380	0.01555
38244	n12288	0.04752
n15694	n11962	0.17983
n15810	n15694	0.06962
n15823	n15810	0.0393
39410	n15823	0.00016
5278	n15823	0.01524
26294	n15810	0.0286
29650	n15694	0.18242
