child	parent	length
n2		0
n3	n2	0.0281
n4	n3	0.01405
n5	n4	0.00991
n6	n5	0.01085
n31	n6	0.03225
11309	n31	0.25562
n59	n31	0.00874
n60	n59	0.01327
28276	n60	0.12242
n121	n60	0.03689
n768	n121	0.04228
22679	n768	0.01089
n770	n768	0.00474
25274	n770	0.00014
26317	n770	0.00298
n775	n121	0.00056
n782	n775	0.15023
n783	n782	0.01018
692	n783	0.00792
n785	n783	0.00424
3203	n785	0.00285
n787	n785	0.00285
34437	n787	0.00572
13910	n787	0.01151
n790	n782	0.0038
17173	n790	0.00016
n792	n790	0.03852
35034	n792	0.02012
9184	n792	0.00361
n795	n775	0.00889
33501	n795	0.16569
n825	n795	0.01785
n831	n825	0.01816
27206	n831	0.00014
9159	n831	0.00576
n837	n825	0.0136
8347	n837	0.003
n858	n837	0.01823
n859	n858	0.00738
27617	n859	0.04083
n861	n859	0.02679
39964	n861	0.00285
13916	n861	0.00014
n864	n858	0.00337
10100	n864	0.04126
n869	n864	0.05544
11039	n869	0.00711
776	n869	0.04927
n979	n59	0.04454
n982	n979	0.04657
10811	n982	0.07049
32995	n982	0.0841
n988	n979	0.14385
3065	n988	0.02527
n990	n988	0.01349
34171	n990	0.00244
14076	n990	0.01328
n1037	n6	0.38509
n1038	n1037	0.00439
n1039	n1038	0.0091
n1040	n1039	0.00015
n1041	n1040	0.00015
n1042	n1041	0.00015
n1043	n1042	0.00016
n1044	n1043	0.02444
n1045	n1044	0.00015
n1046	n1045	0.00011
n1047	n1046	0.00136
n1050	n1047	0.03181
11216	n1050	0.00015
27471	n1050	0.01359
25271	n1047	0.01
14375	n1046	0.0127
23702	n1045	0.06446
21141	n1044	0.01404
n1057	n1043	0.00016
n1058	n1057	0.03404
15620	n1058	0.11705
n1061	n1058	0.05802
n1062	n1061	0.0862
n1063	n1062	0.04729
35988	n1063	0.00015
2403	n1063	0.13505
40499	n1062	0.07848
9743	n1061	0.04603
23302	n1057	0.09914
28095	n1042	0.01448
16126	n1041	0.05521
n1072	n1040	0.00822
11839	n1072	0.02987
29512	n1072	0.01368
n1075	n1039	0.01245
n1076	n1075	0.0103
11369	n1076	0.02963
32641	n1076	0.00986
22096	n1075	0.06166
n1084	n1038	0.00015
8810	n1084	0.03143
10292	n1084	0.00567
11763	n1037	0.00265
n1091	n5	0.01285
n1092	n1091	0.01485
n1111	n1092	0.15909
n1112	n1111	0.04912
32767	n1112	0.41775
n1119	n1112	0.19535
18832	n1119	0.08059
n1121	n1119	0.01646
n1122	n1121	0.07289
4007	n1122	0.0189
n1124	n1122	0.04491
9811	n1124	0.01033
10824	n1124	0.24605
13917	n1121	0.05753
n1153	n1111	0.31227
11117	n1153	0.01042
13208	n1153	0.00954
n1174	n1092	0.04124
n1175	n1174	0.1406
n1176	n1175	0.10589
n1177	n1176	0.01076
21102	n1177	0.00615
3202	n1177	0.00615
n1180	n1176	0.0272
n1181	n1180	0.00016
n1182	n1181	0.00016
n1183	n1182	0.00014
3190	n1183	0.01236
22609	n1183	0.00014
n1186	n1182	0.00014
24825	n1186	0.00306
n1188	n1186	0.00014
28952	n1188	0.0062
24754	n1188	0.01553
35564	n1181	0.01224
n1192	n1180	0.00281
n1193	n1192	0.00016
1686	n1193	0.01261
3100	n1193	0.00614
n1202	n1192	0.00282
n1203	n1202	0.00014
1409	n1203	0.00306
24947	n1203	0.01863
n1206	n1202	0.00014
33683	n1206	0.05967
